B V J J B J J B V B O J J J J J 
J J J O J J J J J J J J J J V N 
J V J J J J V J V O J V J J J J 
J J J J O J J J J J J J J J J J 
J J O V J J J J V J V J J J J J 
O V J J J J J J J J J J V J J J 
J J J V J J J J J J J J J J J O 
J V J J J J V N V J V J V O J J 
J J J J J J J J O J J J J J J J 
J V J J V J V J J J J V J V O J 
J J J J J J J J J J J J J J J V 
J V J V J V J V J J J V J V J J 
J J J J J J O J J J J J J J J J 
J O J J J J J J J J J J J J J J 
J J J J J O J J J V J V J J V N 
N V N V N V N V N J J O N N J R 
101
